station_code,cust_id,first_dw_billdate,last_dw_billdate,zw_day,day_num,total_num,total_fee,bill_num,kz_total_num,kz_total_fee,kz_bill_num,th_total_num,th_total_fee,th_bill_num,cancel_total_num,cancel_total_fee,cancel_bill_num,avg_day,median_day,stddev_day
1003,124796,2018/2/1 0:00,2019/8/23 0:00,568,75,-607,30890,96,-495,25870,74,17,-3730,10,0,0,0,7.675675676,3,11.17442556
1003,124801,2018/5/23 0:00,2018/7/19 0:00,57,4,-2,600,4,0,0,2,2,-230,1,0,0,0,19,21,7.483314774
1003,124802,2018/1/12 0:00,2018/10/11 0:00,272,2,-12,165,2,-12,165,2,0,0,0,0,0,0,272,272,0
1003,124803,2018/3/24 0:00,2018/3/24 0:00,0,1,-550,550,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124804,2018/4/26 0:00,2019/8/21 0:00,482,31,-258,7077,35,-250,4167,29,5,-105,2,0,0,0,16.06666667,8,18.15109424
1003,124808,2018/3/25 0:00,2018/9/25 0:00,184,11,-10101,16690,12,-1,350,1,0,0,0,0,0,0,18.4,15,14.94121816
1003,124810,2018/4/26 0:00,2019/8/24 0:00,485,6,-30,1958.01,6,-24,108,1,0,0,0,0,0,0,97,115,66.79221512
1003,124811,2018/2/1 0:00,2019/8/12 0:00,557,42,-3906,11141,44,-249,6729,34,0,0,0,0,0,0,13.58536585,9,13.57899312
1003,124812,2018/4/4 0:00,2018/7/25 0:00,112,2,-2,718,2,-1,18,1,0,0,0,0,0,0,112,112,0
1003,124813,2018/3/24 0:00,2019/9/2 0:00,527,95,-7488,79050.06,108,-144,1260,6,6,-2200,4,0,0,0,5.606382979,3,5.600566242
1003,124814,2018/3/24 0:00,2019/8/22 0:00,516,2,-100,2940.3,2,0,0,0,0,0,0,0,0,0,516,516,0
1003,124823,2018/3/24 0:00,2019/7/20 0:00,483,3,-320,300,3,0,0,0,1,-320,1,0,0,0,241.5,241.5,24.5
1003,124824,2018/1/12 0:00,2019/7/17 0:00,551,77,-6244,37033,113,-709,10602,69,13,-1271,5,0,0,0,7.25,3.5,8.970895924
1003,124825,2018/4/26 0:00,2019/8/24 0:00,485,41,-82,43650,50,-12,6600,7,0,0,0,0,0,0,12.125,6,16.78866805
1003,124827,2018/2/1 0:00,2019/9/2 0:00,578,146,-2398,51296.07,271,-811,30341,216,43,-2255,23,0,0,0,3.986206897,2,7.530156574
1003,124828,2018/4/19 0:00,2018/4/19 0:00,0,1,-4,17.5,1,-3,15,1,0,0,0,0,0,0,\N,\N,\N
1003,124829,2018/4/24 0:00,2019/2/14 0:00,296,10,-28,1931,11,-13,1071,9,0,0,0,0,0,0,32.88888889,27,24.31480776
1003,124830,2018/3/24 0:00,2019/8/26 0:00,520,2,-331,415,2,-1,85,1,0,0,0,0,0,0,520,520,0
1003,124831,2018/3/24 0:00,2018/3/24 0:00,0,1,-280,280,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124832,2018/2/1 0:00,2019/8/3 0:00,548,36,-2411,14290,42,-148,787,9,32,-6016,5,0,0,0,15.65714286,9,19.90397355
1003,124833,2018/1/12 0:00,2019/9/2 0:00,598,360,-12354,175519.75,719,-3224,121812.36,613,136,-6361,25,0,0,0,1.665738162,1,2.296836009
1003,124836,2018/1/12 0:00,2019/8/15 0:00,580,162,-2822,46498.9,321,-923,44081.9,316,158,-5690.5,35,0,0,0,3.602484472,1,6.474296531
1003,124839,2018/3/24 0:00,2019/8/26 0:00,520,58,-603,15263.31,71,-245,11607.01,61,6,-2020,1,0,0,0,9.122807018,3,25.40484149
1003,124842,2018/3/24 0:00,2019/8/1 0:00,495,4,-576,674,4,-26,124,3,0,0,0,0,0,0,165,155,138.1689787
1003,124843,2018/3/1 0:00,2019/8/29 0:00,546,15,-36,2649,19,-31,1249,18,8,-555,3,0,0,0,39,15.5,52.14540111
1003,124846,2018/2/1 0:00,2019/7/31 0:00,545,9,-1000,5950,10,-32,1400,5,0,0,0,0,0,0,68.125,41,82.88612293
1003,124850,2018/10/2 0:00,2018/10/4 0:00,2,2,-3,323,2,-2,23,1,0,0,0,0,0,0,2,2,0
1003,124852,2018/5/3 0:00,2019/7/30 0:00,453,16,-26,5393,17,-8,1123,5,0,0,0,0,0,0,30.2,29,22.59557479
1003,124856,2018/3/25 0:00,2019/8/24 0:00,517,4,-10026,18085,5,-1,165,1,0,0,0,0,0,0,172.3333333,95,179.9728375
1003,124857,2018/3/1 0:00,2019/6/29 0:00,485,14,-3606,21482,15,-325,18202,14,23,-2835,2,0,0,0,37.30769231,36,31.22716917
1003,124859,2018/4/12 0:00,2018/4/12 0:00,0,1,1,-60,1,1,-60,1,1,-60,1,0,0,0,\N,\N,\N
1003,124860,2018/3/24 0:00,2019/3/19 0:00,360,24,-1059,8780,28,-131,6101,19,3,-555,2,0,0,0,15.65217391,5,23.72965251
1003,124861,2018/4/19 0:00,2019/8/28 0:00,496,22,-45,14565,26,-3,570,3,2,-740,2,0,0,0,23.61904762,13,23.63507521
1003,124862,2018/4/1 0:00,2019/8/23 0:00,509,133,-662,30208.5,181,-446,12873.5,143,11,-848.01,8,0,0,0,3.856060606,2,5.209450293
1003,124864,2018/6/4 0:00,2019/7/28 0:00,419,2,-3,120,2,0,0,0,0,0,0,0,0,0,419,419,0
1003,124867,2018/7/5 0:00,2019/1/11 0:00,190,4,-4,381,4,0,0,0,0,0,0,0,0,0,63.33333333,39,47.70977072
1003,124868,2019/6/7 0:00,2019/8/21 0:00,75,2,-2,680,2,0,0,0,0,0,0,0,0,0,75,75,0
1003,124870,2018/8/30 0:00,2018/8/30 0:00,0,1,-2,260,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124871,2018/2/1 0:00,2019/8/31 0:00,576,92,-2430,22085,115,-722,20291,112,4,-290,4,0,0,0,6.32967033,4,6.623393349
1003,124872,2018/5/18 0:00,2018/5/20 0:00,2,2,0,0,2,0,0,2,36,-324,1,0,0,0,2,2,0
1003,124875,2018/4/4 0:00,2019/8/28 0:00,511,27,-63,25090.1,30,-1,40,1,0,0,0,0,0,0,19.65384615,6.5,43.25144934
1003,124876,2019/7/31 0:00,2019/7/31 0:00,0,1,-1,300,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124879,2018/3/1 0:00,2018/10/21 0:00,234,10,-33,2776,10,-31,2096,8,0,0,0,0,0,0,26,26,14.99629584
1003,124880,2018/1/12 0:00,2019/8/25 0:00,590,111,-1930,22055.58,136,-763,20696.5,135,0,0,0,0,0,0,5.363636364,3.5,5.258287438
1003,124881,2018/7/6 0:00,2019/1/2 0:00,180,5,-5,2210,5,0,0,0,0,0,0,0,0,0,45,42,24.48468909
1003,124883,2018/3/24 0:00,2019/8/26 0:00,520,6,-340,1150,6,-10,820,5,0,0,0,0,0,0,104,23,141.2161464
1003,124884,2018/2/1 0:00,2019/8/30 0:00,575,63,-606,14091.01,72,-145,10142.01,64,2,-75,2,0,0,0,9.274193548,4.5,14.23440783
1003,124885,2019/1/14 0:00,2019/8/31 0:00,229,32,-245,9120.53,35,-233,3110.53,23,1,-15,1,0,0,0,7.387096774,6,6.851783
1003,124889,2018/1/12 0:00,2019/8/31 0:00,596,130,-1947,33210.5,170,-768,27289.5,150,136,-6721,11,0,0,0,4.620155039,3,5.57846607
1003,124890,2018/1/12 0:00,2019/9/1 0:00,597,144,-6350,32692.5,200,-581,22976.5,184,8,-366,6,0,0,0,4.174825175,3,4.573127169
1003,124891,2018/5/17 0:00,2018/9/12 0:00,118,3,-4,1410,3,-1,330,1,0,0,0,0,0,0,59,59,49
1003,124892,2018/1/12 0:00,2019/9/2 0:00,598,145,-27167,109990.06,195,-892,47828,101,36,-8945,14,0,0,0,4.152777778,2,5.817024159
1003,124893,2018/4/26 0:00,2018/4/26 0:00,0,1,-1,410,1,0,0,0,0,0,0,0,0,0,\N,\N,\N
1003,124896,2018/2/1 0:00,2019/8/22 0:00,567,127,-6122,84944.12,186,-2028,71848.12,168,18,-1820,6,0,0,0,4.5,3,4.383862905
1003,124898,2018/2/1 0:00,2019/8/1 0:00,546,35,-1389,5129,40,-117,3858,39,70,-2886,4,0,0,0,16.05882353,4,36.84861014
1003,124899,2018/1/12 0:00,2019/3/3 0:00,415,8,-594,2029.5,9,-13,1129.5,7,0,0,0,0,0,0,59.28571429,48,53.80311803
1003,124900,2018/2/1 0:00,2019/3/25 0:00,417,20,-91,2871,21,-85,1351,15,0,0,0,0,0,0,21.94736842,10,29.55186998
1003,124901,2019/3/19 0:00,2019/5/19 0:00,61,2,-4,1260,3,-5,1410,2,1,-150,1,0,0,0,61,61,0
1003,124902,2018/8/25 0:00,2019/6/18 0:00,297,5,-13,1635,5,-11,725,3,0,0,0,0,0,0,74.25,53.5,54.92437983
1003,124903,2018/1/12 0:00,2019/8/26 0:00,591,40,-121,10375.01,52,-55,3785,32,5,-1014,4,0,0,0,15.15384615,5,25.03693524
1003,124904,2018/3/24 0:00,2019/8/1 0:00,495,24,-725,465.13,24,0,0,0,0,0,0,0,0,0,21.52173913,17,17.77606981
1003,124905,2018/3/24 0:00,2019/8/27 0:00,521,22,-1145,25850,23,0,0,0,0,0,0,0,0,0,24.80952381,10,26.84810723
